title,genres
Better Living Through Circuitry (1999),Documentary
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),Comedy
Seven Days in May (1964),Thriller
Vagabond (Sans toit ni loi) (1985),Drama
"Woman of Paris, A (1923)",Drama
Big Momma's House (2000),Comedy
American Gigolo (1980),Drama
"City of the Living Dead (a.k.a. Gates of Hell, The) (Paura nella città dei morti viventi) (1980)",Horror
"Endless Summer, The (1966)",Documentary
Blow-Out (La grande bouffe) (1973),Drama
Stay Tuned (1992),Comedy
Baraka (1992),Documentary
"Man with the Golden Arm, The (1955)",Drama
"Decline of Western Civilization Part II: The Metal Years, The (1988)",Documentary
Porky's (1982),Comedy
Porky's II: The Next Day (1983),Comedy
Porky's Revenge (1985),Comedy
Private School (1983),Comedy
Sleepwalkers (1992),Horror
Sarafina! (1992),Drama
Soapdish (1991),Comedy
"Long Walk Home, The (1990)",Drama
Clara's Heart (1988),Drama
Sunshine (1999),Drama
Hamlet (1990),Drama
"Fury, The (1978)",Horror
"Paper Chase, The (1973)",Drama
"Ace in the Hole (Big Carnival, The) (1951)",Drama
"Sugarland Express, The (1974)",Drama
Butterfly (La lengua de las mariposas) (1999),Drama
Jesus' Son (1999),Drama
"Golden Bowl, The (2000)",Drama
"Kentucky Fried Movie, The (1977)",Comedy
Thunderbolt and Lightfoot (1974),Action
House Party (1990),Comedy
But I'm a Cheerleader (1999),Comedy
Shower (Xizao) (1999),Comedy
"Pawnbroker, The (1964)",Drama
Groove (2000),Drama
Footloose (1984),Drama
"Five Senses, The (1999)",Drama
"In Crowd, The (2000)",Thriller
What About Bob? (1991),Comedy
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),Comedy
Interiors (1978),Drama
Love and Death (1975),Comedy
"Official Story, The (La historia oficial) (1985)",Drama
Tampopo (1985),Comedy
Nutty Professor II: The Klumps (2000),Comedy
Wonderland (1999),Drama
Saving Grace (2000),Comedy
"Black Sabbath (Tre volti della paura, I) (1963)",Horror
"Crush, The (1993)",Thriller
Phantasm III: Lord of the Dead (1994),Horror
Phantasm IV: Oblivion (1998),Horror
Pumpkinhead (1988),Horror
Sleepaway Camp (1983),Horror
Steel Magnolias (1989),Drama
And God Created Woman (Et Dieu... créa la femme) (1956),Drama
Easy Money (1983),Comedy
"Ilsa, She Wolf of the SS (1974)",Horror
I'm the One That I Want (2000),Comedy
"Tao of Steve, The (2000)",Comedy
Bless the Child (2000),Thriller
Cecil B. DeMented (2000),Comedy
"Eyes of Tammy Faye, The (2000)",Documentary
"Replacements, The (2000)",Comedy
About Adam (2000),Comedy
"Naked Gun 2 1/2: The Smell of Fear, The (1991)",Comedy
Our Town (1940),Drama
"Suddenly, Last Summer (1959)",Drama
Bring It On (2000),Comedy
"Crew, The (2000)",Comedy
Solas (1999),Drama
Almost Famous (2000),Drama
Urban Legends: Final Cut (2000),Horror
Best in Show (2000),Comedy
"Broken Hearts Club, The (2000)",Drama
Girlfight (2000),Drama
Remember the Titans (2000),Drama
Hellraiser (1987),Horror
Hellbound: Hellraiser II (1988),Horror
Hellraiser III: Hell on Earth (1992),Horror
Bikini Beach (1964),Comedy
"Bank Dick, The (1940)",Comedy
"Slumber Party Massacre, The (1982)",Horror
Slumber Party Massacre II (1987),Horror
Slumber Party Massacre III (1990),Horror
Sorority House Massacre (1986),Horror
Sorority House Massacre II (1990),Horror
Bamboozled (2000),Comedy
Meet the Parents (2000),Comedy
Requiem for a Dream (2000),Drama
Tigerland (2000),Drama
Two Family House (2000),Drama
"Ladies Man, The (2000)",Comedy
Billy Jack Goes to Washington (1977),Drama
Billy Elliot (2000),Drama
Bedazzled (2000),Comedy
Pay It Forward (2000),Drama
Little Nicky (2000),Comedy
Men of Honor (2000),Drama
One Day in September (1999),Documentary
Proof of Life (2000),Drama
"Planes, Trains & Automobiles (1987)",Comedy
She's Having a Baby (1988),Comedy
Wall Street (1987),Drama
Talk Radio (1988),Drama
Brewster's Millions (1985),Comedy
Pollock (2000),Drama
Finding Forrester (2000),Drama
"Gift, The (2000)",Thriller
Before Night Falls (2000),Drama
Cast Away (2000),Drama
Dracula 2000 (2000),Horror
"Everlasting Piece, An (2000)",Comedy
Don't Tell Mom the Babysitter's Dead (1991),Comedy
Friendly Persuasion (1956),Drama
Panic (2000),Drama
Sugar & Spice (2001),Comedy
"Legend of Rita, The (Stille nach dem Schuß, Die) (1999)",Drama
Amazing Grace and Chuck (1987),Drama
Baby Boom (1987),Comedy
Back to the Beach (1987),Comedy
Best Seller (1987),Thriller
Born in East L.A. (1987),Comedy
Cop (1988),Thriller
Ernest Goes to Camp (1987),Comedy
"Fourth Protocol, The (1987)",Thriller
"Glass Menagerie, The (1987)",Drama
Hiding Out (1987),Comedy
Hollywood Shuffle (1987),Comedy
Hope and Glory (1987),Drama
Ishtar (1987),Comedy
Less Than Zero (1987),Drama
"Like Father, Like Son (1987)",Comedy
Vatel (2000),Drama
Company Man (2000),Comedy
"Caveman's Valentine, The (2001)",Drama
15 Minutes (2001),Thriller
Long Night's Journey Into Day (2000),Documentary
Avalon (1990),Drama
Of Mice and Men (1939),Drama
Tapeheads (1988),Comedy
Lilies of the Field (1963),Drama
"Greatest Story Ever Told, The (1965)",Drama
Elmer Gantry (1960),Drama
Real Life (1979),Comedy
Battle Beyond the Stars (1980),Sci-Fi
Double Impact (1991),Action
Fuzz (1972),Drama
Losin' It (1983),Comedy
Reversal of Fortune (1990),Drama
Revenge of the Nerds (1984),Comedy
Revenge of the Nerds II: Nerds in Paradise (1987),Comedy
4 Little Girls (1997),Documentary
Girls Just Want to Have Fun (1985),Comedy
"Longest Yard, The (1974)",Comedy
Necessary Roughness (1991),Comedy
"Dish, The (2001)",Comedy
Tomcats (2001),Comedy
Keep the River on Your Right: A Modern Cannibal Tale (2000),Documentary
"Gleaners & I, The (Les glaneurs et la glaneuse) (2000)",Documentary
Josie and the Pussycats (2001),Comedy
"Circle, The (Dayereh) (2000)",Drama
Freddy Got Fingered (2001),Comedy
"Center of the World, The (2001)",Drama
"Visit, The (2000)",Drama
Days of Wine and Roses (1962),Drama
One Night at McCool's (2001),Comedy
Town & Country (2001),Comedy
Under the Sand (2000),Drama
Lost in America (1985),Comedy
Triumph of the Will (Triumph des Willens) (1934),Documentary
Frankie and Johnny (1966),Comedy
Norma Rae (1979),Drama
Summer Rental (1985),Comedy
Pelle the Conqueror (Pelle erobreren) (1987),Drama
Bread and Roses (2000),Drama
Startup.com (2001),Documentary
"Man Who Cried, The (2000)",Drama
Ice Castles (1978),Drama
Eight Men Out (1988),Drama
"Night, The (Notte, La) (1960)",Drama
Yi Yi (2000),Drama
"Animal, The (2001)",Comedy
"Anniversary Party, The (2001)",Drama
"Seven Year Itch, The (1955)",Comedy
Dr. Dolittle 2 (2001),Comedy
Pootie Tang (2001),Comedy
"Closet, The (Placard, Le) (2001)",Comedy
Lumumba (2000),Drama
Kiss of the Dragon (2001),Action
Scary Movie 2 (2001),Comedy
Lost and Delirious (2001),Drama
Another Woman (1988),Drama
Dr. Goldfoot and the Bikini Machine (1965),Comedy
"Fall of the House of Usher, The (House of Usher) (1960)",Horror
September (1987),Drama
"Barefoot Contessa, The (1954)",Drama
Cries and Whispers (Viskningar och rop) (1972),Drama
"Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il) (1970)",Drama
"Lion in Winter, The (1968)",Drama
Moby Dick (1956),Drama
Written on the Wind (1956),Drama
Suspiria (1977),Horror
Christiane F. (a.k.a. We Children from Bahnhof Zoo) (Christiane F. - Wir Kinder vom Bahnhof Zoo) (1981),Drama
Game of Death (1978),Action
Adanggaman (2000),Drama
Made (2001),Comedy
"Accused, The (1988)",Drama
Ariel (1988),Drama
Big Business (1988),Comedy
"Bright Lights, Big City (1988)",Drama
Caddyshack II (1988),Comedy
Camille Claudel (1988),Drama
"Couch Trip, The (1988)",Comedy
Dirty Rotten Scoundrels (1988),Comedy
Feds (1988),Comedy
Gorillas in the Mist (1988),Drama
"Great Outdoors, The (1988)",Comedy
High Spirits (1988),Comedy
Johnny Be Good (1988),Comedy
License to Drive (1988),Comedy
Little Nikita (1988),Drama
Moon Over Parador (1988),Comedy
Red Heat (1988),Action
Running on Empty (1988),Drama
"Serpent and the Rainbow, The (1988)",Horror
Tucker: The Man and His Dream (1988),Drama
Twins (1988),Comedy
Young Einstein (1988),Comedy
Best of the Best (1989),Action
Dad (1989),Drama
"Dream Team, The (1989)",Comedy
Family Business (1989),Comedy
Fat Man and Little Boy (1989),Drama
Great Balls of Fire! (1989),Drama
Jesus of Montreal (Jésus de Montréal) (1989),Drama
Kickboxer (1989),Action
Last Exit to Brooklyn (1989),Drama
Lean on Me (1989),Drama
Let It Ride (1989),Comedy
Little Monsters (1989),Comedy
Loverboy (1989),Comedy
Major League (1989),Comedy
No Holds Barred (1989),Action
"Punisher, The (1989)",Action
Wet Hot American Summer (2001),Comedy
Scenes from the Class Struggle in Beverly Hills (1989),Comedy
She's Out of Control (1989),Comedy
Skin Deep (1989),Comedy
Sweetie (1989),Drama
Troop Beverly Hills (1989),Comedy
UHF (1989),Comedy
Uncle Buck (1989),Comedy
Billy Liar (1963),Comedy
Chocolat (1988),Drama
"Cage aux Folles, La (1978)",Comedy
Theremin: An Electronic Odyssey (1993),Documentary
Any Which Way You Can (1980),Comedy
"Awakening, The (1980)",Horror
American Pie 2 (2001),Comedy
All Over the Guy (2001),Comedy
"Deep End, The (2001)",Drama
Rat Race (2001),Comedy
Bubble Boy (2001),Comedy
"Curse of the Jade Scorpion, The (2001)",Comedy
Jeepers Creepers (2001),Horror
O (2001),Drama
L.I.E. (2001),Drama
Into the Arms of Strangers: Stories of the Kindertransport (2000),Documentary
"Glass House, The (2001)",Thriller
Hardball (2001),Drama
Dinner Rush (2000),Drama
Haiku Tunnel (2001),Comedy
Liam (2000),Drama
"Endurance: Shackleton's Legendary Antarctic Expedition, The (2000)",Documentary
"French Lieutenant's Woman, The (1981)",Drama
Little Man Tate (1991),Drama
13 Ghosts (1960),Horror
"Little Foxes, The (1941)",Drama
Silkwood (1983),Drama
I Never Promised You a Rose Garden (1977),Drama
When Worlds Collide (1951),Sci-Fi
Don't Say a Word (2001),Thriller
Hearts in Atlantis (2001),Drama
Zoolander (2001),Comedy
"Boogeyman, The (1980)",Horror
Coal Miner's Daughter (1980),Drama
Fat Girl (À ma soeur!) (2001),Drama
Bones (2001),Horror
Making the Grade (1984),Comedy
Not Without My Daughter (1991),Drama
"Last Castle, The (2001)",Action
Focus (2001),Drama
Life as a House (2001),Drama
"Town is Quiet, The (Ville est tranquille, La) (2000)",Drama
Domestic Disturbance (2001),Thriller
Tape (2001),Drama
Out Cold (2001),Comedy
In the Bedroom (2001),Drama
MacArthur (1977),Drama
"Cheap Detective, The (1978)",Comedy
That Obscure Object of Desire (Cet obscur objet du désir) (1977),Drama
"Toy, The (1982)",Comedy
"Angry Red Planet, The (1959)",Sci-Fi
"Gauntlet, The (1977)",Action
"Affair of the Necklace, The (2001)",Drama
Pornstar: The Legend of Ron Jeremy (2001),Documentary
"Blue Angel, The (Blaue Engel, Der) (1930)",Drama
Not Another Teen Movie (2001),Comedy
Iris (2001),Drama
Kandahar (Safar e Ghandehar) (2001),Drama
Clockwise (1986),Comedy
How High (2001),Comedy
"Party, The (1968)",Comedy
Ali (2001),Drama
I Am Sam (2001),Drama
"Shipping News, The (2001)",Drama
"Waterdance, The (1992)",Drama
Orange County (2002),Comedy
What Time Is It There? (Ni neibian jidian) (2001),Drama
Blankman (1994),Comedy
Little Dieter Needs to Fly (1997),Documentary
Beijing Bicycle (Shiqi sui de dan che) (2001),Drama
"Son's Room, The (Stanza del figlio, La) (2001)",Drama
Waydowntown (2000),Comedy
Slackers (2002),Comedy
Baby's Day Out (1994),Comedy
Last Orders (2001),Drama
"Bad and the Beautiful, The (1952)",Drama
Designing Woman (1957),Comedy
Scratch (2001),Documentary
"Bad News Bears, The (1976)",Comedy
Wild Strawberries (Smultronstället) (1957),Drama
"Big Bird Cage, The (1972)",Action
"Big Doll House, The (1971)",Action
Zombie (a.k.a. Zombie 2: The Dead Are Among Us) (Zombi 2) (1979),Horror
Hopscotch (1980),Comedy
Little Darlings (1980),Drama
Mon oncle d'Amérique (1980),Drama
"Octagon, The (1980)",Action
"Oh, God! Book II (1980)",Comedy
Harrison's Flowers (2000),Drama
Promises (2001),Documentary
Road to Morocco (1942),Comedy
Taps (1981),Drama
Return of the Secaucus 7 (1980),Drama
Stir Crazy (1980),Comedy
Sorority Boys (2002),Comedy
Stolen Summer (2002),Drama
George Washington (2000),Drama
Panic Room (2002),Thriller
"Rookie, The (2002)",Drama
"Piano Teacher, The (La pianiste) (2001)",Drama
Time Out (L'emploi du temps) (2001),Drama
Boxcar Bertha (1972),Drama
High Crimes (2002),Thriller
National Lampoon's Van Wilder (2002),Comedy
Slap Shot (1977),Comedy
Taking Care of Business (1990),Comedy
Three Men and a Baby (1987),Comedy
"Triumph of Love, The (2001)",Comedy
World Traveler (2001),Drama
Dogtown and Z-Boyz (2001),Documentary
Delirious (1991),Comedy
Full Moon in Blue Water (1988),Drama
Lenny (1974),Drama
Triumph of the Spirit (1989),Drama
Deuces Wild (2002),Drama
"New Guy, The (2002)",Comedy
"Believer, The (2001)",Drama
Every Which Way But Loose (1978),Comedy
"Last Waltz, The (1978)",Documentary
CQ (2001),Drama
Thirteen Conversations About One Thing (a.k.a. 13 Conversations) (2001),Drama
Requiem for a Heavyweight (1962),Drama
Undercover Brother (2002),Comedy
Rapid Fire (1992),Action
"Dangerous Lives of Altar Boys, The (2002)",Drama
"Emperor's New Clothes, The (2001)",Comedy
Caveman (1981),Comedy
Cheech & Chong's The Corsican Brothers (1984),Comedy
Juwanna Mann (2002),Comedy
Sunshine State (2002),Drama
20 Million Miles to Earth (1957),Sci-Fi
Austin Powers in Goldmember (2002),Comedy
"Kid Stays in the Picture, The (2002)",Documentary
Who Is Cletis Tout? (2001),Comedy
Nosferatu the Vampyre (Nosferatu: Phantom der Nacht) (1979),Horror
Red Beard (Akahige) (1965),Drama
Top Secret! (1984),Comedy
Secret Ballot (Raye makhfi) (2001),Comedy
Songs From the Second Floor (Sånger från andra våningen) (2000),Drama
Undisputed (2002),Drama
Down and Out in Beverly Hills (1986),Comedy
Swimfan (2002),Thriller
Johnny Dangerously (1984),Comedy
Barbershop (2002),Comedy
Aspen Extreme (1993),Action
Betsy's Wedding (1990),Comedy
Ernest Goes to Jail (1990),Comedy
Ernest Scared Stupid (1991),Comedy
"Hills Have Eyes, The (1977)",Horror
Invincible (2001),Drama
"Trials of Henry Kissinger, The (2002)",Documentary
Bloody Sunday (2002),Drama
Heaven (2002),Drama
"Man from Elysian Fields, The (2001)",Drama
Flirting (1991),Drama
Powaqqatsi (1988),Documentary
"Pride of the Yankees, The (1942)",Drama
Horror of Dracula (Dracula) (1958),Horror
Strange Brew (1983),Comedy
Below (2002),Horror
White Oleander (2002),Drama
Bowling for Columbine (2002),Documentary
"Grey Zone, The (2001)",Drama
Naqoyqatsi (2002),Documentary
Tully (2000),Drama
Urban Cowboy (1980),Drama
Banana Joe (1981),Comedy
"Chosen, The (1981)",Drama
"Eyewitness (Janitor, The) (1981)",Thriller
My Dinner with André (1981),Drama
Neighbors (1981),Comedy
Polyester (1981),Comedy
Ghost Ship (2002),Horror
All or Nothing (2002),Drama
"World of Henry Orient, The (1964)",Comedy
8 Mile (2002),Drama
Madame Bovary (1991),Drama
Ragtime (1981),Drama
I'm Starting From Three (Ricomincio da Tre) (1981),Comedy
Take This Job and Shove It (1981),Comedy
The Emperor's Club (2002),Drama
Friday After Next (2002),Comedy
Personal Velocity (2002),Drama
New Waterford Girl (1999),Comedy
Android (1982),Sci-Fi
Attila (Attila Flagello di Dio) (1982),Action
"Beast Within, The (1982)",Horror
Burden of Dreams (1982),Documentary
"Hot Chick, The (2002)",Comedy
Evelyn (2002),Drama
Intact (Intacto) (2001),Thriller
Morvern Callar (2002),Drama
Antwone Fisher (2002),Drama
"Children's Hour, The (1961)",Drama
Fat City (1972),Drama
Quicksilver (1986),Drama
Max (2002),Drama
Love Liza (2002),Drama
American Me (1992),Drama
CB4 - The Movie (1993),Comedy
Mystery Date (1991),Comedy
Amen. (2002),Drama
Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin) (2002),Documentary
Ethan Frome (1993),Drama
Sugar Hill (1994),Drama
Lost in La Mancha (2002),Documentary
Tokyo Decadence (Topâzu) (1992),Drama
Kiss Me Goodbye (1982),Comedy
Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982),Action
Monty Python Live at the Hollywood Bowl (1982),Comedy
Santa Claus Is a Stinker (Le Père Noël est une ordure) (1982),Comedy
Sunless (Sans Soleil) (1983),Documentary
Savannah Smiles (1982),Comedy
They Call Me Bruce? (a.k.a. A Fistful of Chopsticks) (1982),Comedy
Dennis the Menace (1993),Comedy
"Thrill of It All, The (1963)",Comedy
Old School (2003),Comedy
Stone Reader (2002),Documentary
Life Stinks (1991),Comedy
"Meteor Man, The (1993)",Comedy
Bringing Down the House (2003),Comedy
Laurel Canyon (2002),Drama
Nowhere in Africa (Nirgendwo in Afrika) (2001),Drama
"Safety of Objects, The (2001)",Drama
Prozac Nation (2001),Drama
King of Kings (1961),Drama
"Glenn Miller Story, The (1953)",Drama
Salaam Bombay! (1988),Drama
Talent for the Game (1991),Drama
Boat Trip (2003),Comedy
Head of State (2003),Comedy
Stevie (2002),Documentary
Levity (2003),Drama
Anger Management (2003),Comedy
House of 1000 Corpses (2003),Horror
Chasing Papi (a.k.a. Papi Chulo) (2003),Comedy
"Winged Migration (Peuple migrateur, Le) (2001)",Documentary
Beginning of the End (1957),Sci-Fi
I Am Trying to Break Your Heart (2002),Documentary
Sibling Rivalry (1990),Comedy
Wildcats (1986),Comedy
Scenes from a Mall (1991),Comedy
"Decade Under the Influence, A (2003)",Documentary
Manic (2001),Drama
Spellbound (2002),Documentary
Blue Car (2002),Drama
Marooned in Iraq (Gomgashtei dar Aragh) (2002),Drama
"Shape of Things, The (2003)",Drama
Cinemania (2002),Documentary
"In-Laws, The (2003)",Comedy
Gigantic (A Tale of Two Johns) (2002),Documentary
Capturing the Friedmans (2003),Documentary
Together (Han ni Zai Yiki) (2002),Drama
Whale Rider (2002),Drama
Murder on a Sunday Morning (Un coupable idéal) (2001),Documentary
Siam Sunset (1999),Comedy
Car Wash (1976),Comedy
Live Wire (1992),Action
"6th Man, The (Sixth Man, The) (1997)",Comedy
"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",Documentary
This Boy's Life (1993),Drama
From the Terrace (1960),Drama
"Long, Hot Summer, The (1958)",Drama
Man of Aran (1934),Documentary
Music Box (1989),Drama
"Trial, The (Procès, Le) (1962)",Drama
Jubilee (1977),Drama
"Song of Bernadette, The (1943)",Drama
Dumb and Dumberer: When Harry Met Lloyd (2003),Comedy
Ring of Terror (1962),Horror
Anastasia (1956),Drama
"Babe, The (1992)",Drama
Start the Revolution Without Me (1970),Comedy
"What's Up, Doc? (1972)",Comedy
"Legally Blonde 2: Red, White & Blonde (2003)",Comedy
"Embalmer, The (Imbalsamatore, L') (2002)",Drama
Seabiscuit (2003),Drama
"Mondays in the Sun (Lunes al sol, Los) (2002)",Drama
"Kiss Me, Stupid (1964)",Comedy
"One, Two, Three (1961)",Comedy
American Wedding (American Pie 3) (2003),Comedy
"Magdalene Sisters, The (2002)",Drama
"Secret Lives of Dentists, The (2002)",Drama
Step Into Liquid (2002),Documentary
Hawks and Sparrows (Uccellacci e Uccellini) (1966),Comedy
"Gospel According to St. Matthew, The (Vangelo secondo Matteo, Il) (1964)",Drama
Umberto D. (1952),Drama
Brother's Keeper (1992),Documentary
Uptown Girls (2003),Comedy
Hot Dog... The Movie (1984),Comedy
Tokyo Story (Tôkyô monogatari) (1953),Drama
Waco: The Rules of Engagement (1997),Documentary
Ikiru (1952),Drama
Comic Book Villains (2002),Comedy
"Angel at My Table, An (1990)",Drama
Revolution OS (2001),Documentary
Stoked: The Rise and Fall of Gator (2002),Documentary
Once Upon a Time in the Midlands (2002),Drama
Dickie Roberts: Former Child Star (2003),Comedy
Taking Sides (2001),Drama
Children of the Night (1991),Horror
Gotcha! (1985),Comedy
Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba) (1993),Action
"Brood, The (1979)",Horror
"Fighting Temptations, The (2003)",Drama
Luther (2003),Drama
Mambo Italiano (2003),Comedy
To Be and to Have (Être et avoir) (2002),Documentary
Life and Debt (2001),Documentary
Judgment at Nuremberg (1961),Drama
"Brief History of Time, A (1991)",Documentary
Kiss of the Spider Woman (1985),Drama
Babette's Feast (Babettes gæstebud) (1987),Drama
Monty Python's The Meaning of Life (1983),Comedy
Tightrope (1984),Thriller
PCU (1994),Comedy
Three O'Clock High (1987),Comedy
More American Graffiti (1979),Comedy
It's Pat (1994),Comedy
Regarding Henry (1991),Drama
"Amazing Transparent Man, The (1960)",Sci-Fi
Campus Man (1987),Comedy
Knife in the Water (Nóz w wodzie) (1962),Drama
"Texas Chainsaw Massacre, The (2003)",Horror
Radio (2003),Drama
Elephant (2003),Drama
Sweet Sixteen (2002),Drama
Alien from L.A. (1988),Sci-Fi
"Eye, The (Gin gwai) (Jian gui) (2002)",Thriller
"Unvanquished, The (Aparajito) (1957)",Drama
"Revolution Will Not Be Televised, The (a.k.a. Chavez: Inside the Coup) (2003)",Documentary
Billabong Odyssey (2003),Documentary
Father of the Bride (1991),Comedy
My Architect: A Son's Journey (2003),Documentary
Tupac: Resurrection (2003),Documentary
Damage (Fatale) (1992),Drama
OT: Our Town (2002),Documentary
Devil's Playground (2002),Documentary
Journeys with George (2002),Documentary
"Ordet (Word, The) (1955)",Drama
"Tale of Two Cities, A (1935)",Drama
"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)",Drama
House of Cards (1993),Drama
King Ralph (1991),Comedy
Lorenzo's Oil (1992),Drama
"Salo, or The 120 Days of Sodom (Salò o le 120 giornate di Sodoma) (1976)",Drama
Summer School (1987),Comedy
Radio Flyer (1992),Drama
"What's New, Pussycat (1965)",Comedy
Mary of Scotland (1936),Drama
Little Women (1949),Drama
Life with Father (1947),Comedy
Birdman of Alcatraz (1962),Drama
"Macbeth (a.k.a. Tragedy of Macbeth, The) (1971)",Drama
"Woman Under the Influence, A (1974)",Drama
"Navigator, The (1924)",Comedy
Jezebel (1938),Drama
"Hunchback of Notre Dame, The (1939)",Drama
Sweet Dreams (1985),Drama
Horse Feathers (1932),Comedy
"Front Page, The (1974)",Comedy
Rivers and Tides (2001),Documentary
Madhouse (1990),Comedy
Grass (1999),Documentary
Spring Forward (1999),Drama
"Summer Place, A (1959)",Drama
My Flesh and Blood (2003),Documentary
Stuck on You (2003),Comedy
Calendar Girls (2003),Comedy
House of Sand and Fog (2003),Drama
Japanese Story (2003),Drama
Aileen: Life and Death of a Serial Killer (2003),Documentary
Crimson Gold (Talaye sorgh) (2003),Drama
Osama (2003),Drama
"Great Gatsby, The (1974)",Drama
Ship of Fools (1965),Drama
Jane Eyre (1970),Drama
Blame It on the Bellboy (1992),Comedy
Only the Strong (1993),Action
Beyond Re-Animator (2003),Horror
Mon Oncle (My Uncle) (1958),Comedy
"M. Hulot’s Holiday (Mr. Hulot's Holiday) (Vacances de Monsieur Hulot, Les) (1953)",Comedy
They Drive by Night (1940),Drama
Pumping Iron (1977),Documentary
"Strada, La (1954)",Drama
"Boy and His Dog, A (1975)",Sci-Fi
Intolerance: Love's Struggle Throughout the Ages (1916),Drama
Where the Day Takes You (1992),Drama
Barbershop 2: Back in Business (2004),Comedy
Miracle (2004),Drama
"Dreamers, The (2003)",Drama
Thirteen (2003),Drama
Welcome to Mooseport (2004),Comedy
Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran) (2003),Drama
Diary of a Country Priest (Journal d'un curé de campagne) (1951),Drama
Raw Deal (1986),Action
Confessions of a Teenage Drama Queen (2004),Comedy
"Passion of the Christ, The (2004)",Drama
Twisted (2004),Thriller
Persona (1966),Drama
"Passion of Anna, The (Passion, En) (1969)",Drama
Just One of the Guys (1985),Comedy
Spartan (2004),Thriller
Broken Wings (Knafayim Shvurot) (2002),Drama
Ned Kelly (2003),Drama
Walking Tall (2004),Action
Scenes From a Marriage (Scener ur ett äktenskap) (1973),Drama
Paper Clips (2004),Documentary
This So-Called Disaster (2003),Documentary
Envy (2004),Comedy
Mean Girls (2004),Comedy
"Mudge Boy, The (2003)",Drama
Watch on the Rhine (1943),Drama
Henry & June (1990),Drama
"Three Faces of Eve, The (1957)",Drama
Kwaidan (Kaidan) (1964),Horror
28 Up (1985),Documentary
Wit (2001),Drama
"Fountainhead, The (1949)",Drama
Desert Hearts (1985),Drama
Chaplin (1992),Drama
"Miracle Worker, The (1962)",Drama
School Ties (1992),Drama
Noises Off... (1992),Comedy
"Witchfinder General (Conquerer Worm, The) (1968)",Horror
"Bells of St. Mary's, The (1945)",Drama
"Delta Force, The (1986)",Action
"Lonely Guy, The (1984)",Comedy
Protocol (1984),Comedy
"Scent of Green Papaya, The (Mùi du du xhan - L'odeur de la papaye verte) (1993)",Drama
Weekend (a.k.a. Le Week-end) (Week End) (1967),Drama
Tuesdays with Morrie (1999),Drama
"Best of Youth, The (La meglio gioventù) (2003)",Drama
"Bang, Bang, You're Dead (2002)",Drama
Twister (1990),Comedy
Genghis Blues (1999),Documentary
"11'09""01 - September 11 (2002)",Drama
"Parallax View, The (1974)",Thriller
Love Crazy (1941),Comedy
Lammbock (2001),Comedy
Notorious C.H.O. (2002),Comedy
The Plague of the Zombies (1966),Horror
Highway 61 (1991),Comedy
Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),Action
Gidget (1959),Comedy
Dark Days (2000),Documentary
Zelig (1983),Comedy
"Silence, The (Tystnaden) (1963)",Drama
Winter Light (Nattvardsgästerna) (1963),Drama
Through a Glass Darkly (Såsom i en spegel) (1961),Drama
The Magician (1958),Drama
Ken Park (2002),Drama
Broadway Danny Rose (1984),Comedy
Robot Jox (1990),Sci-Fi
Dolls (1987),Horror
"Power of One, The (1992)",Drama
"Weather Underground, The (2002)",Documentary
"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",Drama
The Thief (1997),Drama
Sweet Bird of Youth (1962),Drama
Crossroads (1986),Drama
"Seducing Doctor Lewis (Grande séduction, La) (2003)",Comedy
Shock Corridor (1963),Drama
Au revoir les enfants (1987),Drama
Lola Montès (1955),Drama
Lust for Life (1956),Drama
"Dolce Vita, La (1960)",Drama
Sansho the Bailiff (Sanshô dayû) (1954),Drama
Zazie dans le métro (1960),Comedy
Anne of the Thousand Days (1969),Drama
Night of the Living Dead (1990),Horror
3 Women (Three Women) (1977),Drama
Grey Gardens (1975),Documentary
College (1927),Comedy
"Man Who Came to Dinner, The (1942)",Comedy
Make Way for Tomorrow (1937),Drama
Black Narcissus (1947),Drama
Soul Plane (2004),Comedy
Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003),Drama
"Hunting of the President, The (2004)",Documentary
Napoleon Dynamite (2004),Comedy
"Doctor, The (1991)",Drama
"Dresser, The (1983)",Drama
Father Hood (1993),Comedy
Hello Again (1987),Comedy
Meet the Applegates (1991),Comedy
This Island Earth (1955),Sci-Fi
Blackboard Jungle (1955),Drama
To Each His Own (1946),Drama
Executive Suite (1954),Drama
Johnny Belinda (1948),Drama
"Cincinnati Kid, The (1965)",Drama
"Immigrant, The (1917)",Comedy
Silent Movie (1976),Comedy
Anna Christie (1930),Drama
Dodgeball: A True Underdog Story (2004),Comedy
"Door in the Floor, The (2004)",Drama
Comandante (2003),Documentary
